Day,S,I,R,dS_dt,dI_dt,dR_dt
0,990,10,0,-1.98,1.48,0.5
1,984,16,0,-3.1685,2.2224,0.9461
2,984,15,1,-2.9889,2.0453,0.9436
3,981,18,1,-3.5978,2.4132,1.1846
4,978,21,1,-4.2103,2.7769,1.4334
5,976,20,4,-4.026,2.6178,1.4082
6,971,23,6,-4.6341,2.9698,1.6643
7,967,25,8,-5.0465,3.1927,1.8538
8,965,27,8,-5.4716,3.4244,2.0471
9,959,30,11,-6.0777,3.7561,2.3216
10,952,36,12,-7.2828,4.4436,2.8392
11,944,43,13,-8.6765,5.2247,3.4519
12,937,46,17,-9.2669,5.5123,3.7546
13,927,52,21,-10.4241,6.1126,4.3115
14,917,59,24,-11.7674,6.8022,4.9652
15,908,61,31,-12.1161,6.9094,5.2067
16,901,62,37,-12.2896,6.9257,5.3639
17,890,65,45,-12.7993,7.1028,5.6965
18,882,66,52,-12.9522,7.096,5.8562
19,867,75,58,-14.5493,7.815,6.7343
20,853,84,63,-16.1217,8.4924,7.6293
21,841,89,70,-16.9346,8.7614,8.1731
22,824,100,76,-18.746,9.4643,9.2817
23,803,110,87,-20.2055,9.8897,10.3158
24,783,117,100,-21.0705,9.9881,11.0824
25,755,133,112,-23.221,10.5004,12.7206
26,731,145,124,-24.6438,10.6445,13.9994
27,709,147,144,-24.3621,10.0393,14.3228
28,690,150,160,-24.3225,9.5768,14.7457
29,675,140,185,-22.3256,8.4433,13.8823
30,655,145,200,-22.5566,8.0566,14.5
31,633,151,216,-22.8204,7.5956,15.2248
32,615,156,229,-23.0256,7.1698,15.8558
33,596,162,242,-23.2932,6.6978,16.5954
34,574,167,259,-23.2456,6.0063,17.2393
35,548,166,286,-22.1735,4.9084,17.265
36,526,168,306,-21.6502,4.0484,17.6017
37,502,171,327,-21.1386,3.0933,18.0452
38,481,175,344,-20.8333,2.2355,18.5978
39,457,181,362,-20.5759,1.2073,19.3686
40,439,181,380,-19.8648,0.3647,19.5
41,414,190,396,-19.7633,-0.8426,20.6059
42,393,187,420,-18.5565,-1.8566,20.4131
43,378,177,445,-16.9774,-2.468,19.4454
44,364,177,459,-16.4291,-3.1387,19.5679
45,350,168,482,-15.0675,-3.6204,18.6879
46,333,167,500,-14.3198,-4.3698,18.6896
47,320,162,518,-13.4136,-4.8249,18.2385
48,307,156,537,-12.4519,-5.2144,17.6663
49,293,145,562,-11.0992,-5.4164,16.5156
50,277,153,570,-11.125,-6.4011,17.5261
51,260,142,598,-9.7377,-6.6196,16.3573
52,248,132,620,-8.675,-6.6143,15.2893
53,235,130,635,-8.1339,-7.0056,15.1395
54,226,122,652,-7.3755,-6.9085,14.284
55,220,114,666,-6.7402,-6.6776,13.4178
56,214,107,679,-6.1825,-6.477,12.6595
57,208,99,693,-5.5856,-6.1875,11.7731
58,203,88,709,-4.8679,-5.65,10.518
59,200,81,719,-4.4348,-5.2949,9.7296
60,197,68,735,-3.6839,-4.5244,8.2083
61,194,60,746,-3.2156,-4.0623,7.2778
62,192,54,754,-2.8771,-3.7044,6.5815
63,191,50,759,-2.6621,-3.4608,6.1228
64,190,47,763,-2.5004,-3.282,5.7824
65,186,50,764,-2.6156,-3.5643,6.1799
66,183,51,766,-2.6366,-3.6957,6.3323
67,181,47,772,-2.4139,-3.4481,5.8619
68,178,43,779,-2.1814,-3.2055,5.3869
69,174,41,785,-2.0421,-3.1169,5.159
70,174,35,791,-1.7509,-2.6723,4.4232
71,173,33,794,-1.6485,-2.5399,4.1884
72,170,31,799,-1.5283,-2.4229,3.9512
73,169,27,804,-1.329,-2.1269,3.4559
74,168,24,808,-1.1794,-1.9053,3.0847
75,167,23,810,-1.1283,-1.84,2.9683
76,165,23,812,-1.1195,-1.8609,2.9804
77,163,22,815,-1.0624,-1.7999,2.8623
78,163,19,818,-0.9214,-1.5605,2.4818
79,162,19,819,-0.9196,-1.5721,2.4916
80,162,12,826,-0.5832,-0.9966,1.5798
81,162,10,828,-0.488,-0.8336,1.3216
82,162,10,828,-0.49,-0.8366,1.3266
83,162,9,829,-0.4429,-0.7556,1.1985
84,162,9,829,-0.4447,-0.7583,1.203
85,162,8,830,-0.3969,-0.6764,1.0733
86,162,7,831,-0.3487,-0.5939,0.9426
87,162,7,831,-0.3501,-0.5959,0.946
88,162,6,832,-0.3013,-0.5125,0.8138
89,161,4,835,-0.2004,-0.344,0.5445
90,161,4,835,-0.2013,-0.3452,0.5464
